  6213.68994  0.962520719
  6213.7002  0.962473094
  6213.70996  0.962429106
  6213.72021  0.962382495
  6213.72998  0.962336659
  6213.74023  0.962291718
  6213.75  0.962245166
  6213.75977  0.962199986
  6213.77002  0.962155461
  6213.77979  0.962110698
  6213.79004  0.962064922
  6213.7998  0.962020874
  6213.81006  0.961975932
  6213.81982  0.961930513
  6213.83008  0.961885571
  6213.83984  0.96184212
  6213.8501  0.961798131
  6213.85986  0.96175313
  6213.87012  0.961708128
  6213.87988  0.961665154
  6213.89014  0.961620927
  6213.8999  0.961577713
  6213.91016  0.961534202
  6213.91992  0.961490691
  6213.93018  0.961447656
  6213.93994  0.961403787
  6213.9502  0.961360157
  6213.95996  0.961317062
  6213.97021  0.961276174
  6213.97998  0.961232722
  6213.99023  0.961189985
  6214.  0.961147904
  6214.00977  0.961105704
  6214.02002  0.961062074
  6214.02979  0.961020708
  6214.04004  0.960977912
  6214.0498  0.960936129
  6214.06006  0.9608953
  6214.06982  0.960852087
  6214.08008  0.960809886
  6214.08984  0.960767865
  6214.1001  0.960726082
  6214.10986  0.960683644
  6214.12012  0.960643053
  6214.12988  0.960601866
  6214.14014  0.960561097
  6214.1499  0.960520327
  6214.16016  0.960479617
  6214.16992  0.960438669
  6214.18018  0.960398674
  6214.18994  0.960357487
  6214.2002  0.960316956
  6214.20996  0.960276306
  6214.22021  0.96023643
  6214.22998  0.960196793
  6214.24023  0.960157692
  6214.25  0.960117161
  6214.25977  0.960077047
  6214.27002  0.960038304
  6214.27979  0.95999831
  6214.29004  0.959958375
  6214.2998  0.95991993
  6214.31006  0.959880352
  6214.31982  0.959841192
  6214.33008  0.959802508
  6214.33984  0.959763408
  6214.3501  0.959724128
  6214.35986  0.95968473
  6214.37012  0.959647596
  6214.37988  0.959610403
  6214.39014  0.959572017
  6214.3999  0.959533572
  6214.41016  0.959495127
  6214.41992  0.959456921
  6214.43018  0.959418476
  6214.43994  0.959381819
  6214.4502  0.959344327
  6214.45996  0.959306002
  6214.47021  0.959270179
  6214.47998  0.959232748
  6214.49023  0.959193885
  6214.5  0.959157765
  6214.50977  0.959120512
  6214.52002  0.959084094
  6214.52979  0.959047914
  6214.54004  0.95901078
  6214.5498  0.9589746
  6214.56006  0.958937109
  6214.56982  0.958901584
  6214.58008  0.958865404
  6214.58984  0.958829761
  6214.6001  0.958793938
  6214.60986  0.958757997
  6214.62012  0.958721817
  6214.62988  0.958686352
  6214.64014  0.958650649
  6214.6499  0.95861572
  6214.66016  0.958580732
  6214.66992  0.958545864
  6214.68018  0.958511114
  6214.68994  0.958475649
  6214.7002  0.958440363
  6214.70996  0.958406508
  6214.72021  0.958372533
  6214.72998  0.958338082
  6214.74023  0.958303511
  6214.75  0.958269656
  6214.75977  0.958235443
  6214.77002  0.958202124
  6214.77979  0.958168745
  6214.79004  0.958132982
  6214.7998  0.958099961
  6214.81006  0.958068132
  6214.81982  0.958034575
  6214.83008  0.958000183
  6214.83984  0.957967579
  6214.8501  0.957933247
  6214.85986  0.957900763
  6214.87012  0.957868397
  6214.87988  0.957835615
  6214.89014  0.957803309
  6214.8999  0.95777005
  6214.91016  0.957737803
  6214.91992  0.9577052
  6214.93018  0.957672656
  6214.93994  0.957640111
  6214.9502  0.957608223
  6214.95996  0.957576454
  6214.97021  0.95754391
  6214.97998  0.957513154
  6214.99023  0.957482219
  6215.  0.957450688
  6215.00977  0.957418978
  6215.02002  0.957388639
  6215.02979  0.957356751
  6215.04004  0.957324982
  6215.0498  0.957295001
  6215.06006  0.957263827
  6215.06982  0.957233191
  6215.08008  0.957203627
  6215.08984  0.957171917
  6215.1001  0.957142591
  6215.10986  0.957111478
  6215.12012  0.957080722
  6215.12988  0.957052112
  6215.14014  0.957020998
  6215.1499  0.956991374
  6215.16016  0.956961811
  6215.16992  0.956932783
  6215.18018  0.956903815
  6215.18994  0.956873655
  6215.2002  0.956844211
  6215.20996  0.956814647
  6215.22021  0.956785202
  6215.22998  0.956757545
  6215.24023  0.95672816
  6215.25  0.956699133
  6215.25977  0.956670046
  6215.27002  0.956641316
  6215.27979  0.956613719
  6215.29004  0.956584692
  6215.2998  0.956556976
  6215.31006  0.956528604
  6215.31982  0.956500292
  6215.33008  0.95647192
  6215.33984  0.956445575
  6215.3501  0.956416011
  6215.35986  0.956389189
  6215.37012  0.956362724
  6215.37988  0.956334412
  6215.39014  0.956307411
  6215.3999  0.956280708
  6215.41016  0.956253231
  6215.41992  0.956226408
  6215.43018  0.956199646
